code name,name ,gen info,lifecycle,care difficulty,how to plant,watering,seasons,warnings,sunlight,soil,website link,citation
toadlily,toad lily,"grown in residencial gardens, likes shade and hotter areas",perennial,minimal care,,"perform best in rich, moist, well-drained soil. while it can handle short droughts, it needs to be watered soon after",fall/summer bloom,,shady/part sun,"consistently moist, best in humusy, organic soil that can't dry out. don't keep the soil soggy","https://www.bhg.com/gardening/plant-dictionary/perennial/toad-lily/
https://www.gardeningknowhow.com/ornamental/bulbs/toad-lily/toad-lily-care.htm","C. Chaney, “How to Take Care of Dendromecon Tree Poppies,” Home Guides | SF Gate, 07-Oct-2016. [Online]. Available: https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html. [Accessed: 11-Apr-2019]."
treemallow,tree mallow,blooms for a long time,perennial or annual,"easy, very hardy",choose a sunny and wind-protected spot. Keep a planting distance of 32 inches (80 cm) to 3 feet (1 meter) between tree mallow plants in order for them to have the space they need to develop well.,doesnt require a lot of water but water regularly so the roots can develop,july to october,"disease - rust, brown or tan blisters under the leaves and yellow spots on the top",full sun,"ordinary, in the summer water as soon as dry, add flower plant fertilizer",https://www.nature-and-garden.com/gardening/tree-mallows-care-planting-watering.html,"“Tree mallow - planting, pruning and advice on caring for it,” Nature, 05-Sep-2018. [Online]. Available: https://www.nature-and-garden.com/gardening/tree-mallows-care-planting-watering.html. [Accessed: 11-Apr-2019]."
treepoppy,tree poppy,"drought tolerant, bright yellow flowers, can grow to 20 feet tall",,drought tolerant,"plant in fall or early winter
Measure an area 20 feet by 20 feet for the plant to occupy. Dig a planting hole twice as deep and three times as wide as the container the tree poppy is growing in.
let the top of the root be at the top of the hole. backfill beneath and to the sides of the roots, removing air gaps. use excess soil to make a watering basin around the planting hole. Mound up a rim of soil that encloses the entire planting hole. Tamp the soil berm firmly in place so water won't leak out. Water the plant thoroughly.

","water occasionally through hot/dry months for the first two years to establish root system. less frequent after, deep watering and don't over water",spring/early summer,"do not fertilize
prune and remove dead parts. don't prune older plants heavily. withdraw watering as poppy becomes established.",full sun,"amend soil with decomposed granite, pumice or perlite to create good drainage
put in areas around the planting hole as well",https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html,"C. Chaney, “How to Take Care of Dendromecon Tree Poppies,” Home Guides | SF Gate, 07-Oct-2016. [Online]. Available: https://homeguides.sfgate.com/care-dendromecon-tree-poppies-28566.html. [Accessed: 11-Apr-2019]."
trumpetcreeper,trumpet creeper,pollinated by hummingbirds and long tongued bees,perennial,,stratify 30-60 days at 41-50 degrees for seeds,"To keep lush during droughts, water deeply on occasion. Mow to keep it from expanding beyond defined areas. Cut back branches to two buds in the winter to encourage bushier growth and more blooms.
low",summer,the sap can cause skin irritaiton on contact,Blooms most in full sun.,"Various well-drained soils. Sandy, Sandy Loam, Medium Loam, Clay Loam, Clay, Limestone-based, Caliche type
dry moist",https://www.wildflower.org/plants/result.php?id_plant=cara2,"“Plant Database,” Lady Bird Johnson Wildflower Center - The University of Texas at Austin. [Online]. Available: https://www.wildflower.org/plants/result.php?id_plant=cara2. [Accessed: 11-Apr-2019]."
wallflower,wallflower,,"can be annuals, biennials, or perennials",,,,spring and summer,,"grown in full sun, but will tolerate light or dappled shade",,https://www.lovethegarden.com/plant-finder/annuals/wallflowers ,"“Wallflowers,” Love The Garden. [Online]. Available: https://www.lovethegarden.com/plant-finder/annuals/wallflowers. [Accessed: 11-Apr-2019]."
watercress,watercress,grows partially submerged in running water and flooded areas in cool climates,perennial,difficult,"In the garden proper, you can dig out a 6-inch furrow, line it with 4-6 mil polyethylene and then fill with 2 inches of composted soil or peat moss. Of course, if you have a running stream on your property, watercress cultivation is about as simple as it gets.","Watercress can also be grown in consistently wet soil with a soil pH of 6.5-7.5 in full sun, or you can mimic natural conditions by growing watercress plants in a bucket or other container.","flavor is best during cool months, once blossomed, the flavor is compromised",,"light shade, will grow in sunny position if soil is kept wet",keep soil wet/perminently damp soil,https://www.gardeningknowhow.com/edible/herbs/watercress/growing-watercress-in-gardens.htm,"“Care Of Watercress: Growing Watercress Plants In Gardens,” Gardening Know How. [Online]. Available: https://www.gardeningknowhow.com/edible/herbs/watercress/growing-watercress-in-gardens.htm. [Accessed: 11-Apr-2019]."
waterlily,water lily,"Water lily is a plant native to Europe and North America
It is also possible to grow water lily in pots, large water drums or garden boxes that don’t let water drain on a terrace or balcony.
Indeed, it is a very hardy and resilient plant, and stress is perhaps the only factor that can endanger your water lily.",perennial,easy,"plant in the spring - at the bottom of a body of water
6 inches (15 cm) of water are enough for most species, although some may require a greater depth.
put some heavy clay soil in a pot/tray to keep plant at the bottom, plant the water lily in it.
Spread rocks over the soil to keep it from floating back up.
Once your basket is ready, immerse it in water. Ideally, let it rest about 24 inches (60 cm) deep.
Once properly settled in, your water lily won’t need any follow-up and will simply bloom year after year without even needing to touch it.

There exist special baskets at horticulture stores, they help water circulate well without letting the soil disperse throughout the water basin.There are even specific soil mix preparations for aquatic plants.","needs small body of water
no need to water! Simply check that there is always enough water in the pond, minimum about 4 inches (10 cm).
",june to september,"Apart from ducks and the occasional muskrat that sometimes eat the rhizomes, only very few diseases have been seen to deplete the plant. If it starts to turn invasive, simply pull out excess rhizomes regularly.",full sun,"with high levels of humus, heavy",https://www.nature-and-garden.com/gardening/water-lilies.html,"“Water lily - growing it and advice on how to care for it,” Nature, 06-Sep-2018. [Online]. Available: https://www.nature-and-garden.com/gardening/water-lilies.html. [Accessed: 11-Apr-2019]."
wildpansy,wild pansy,"edible flowers - used as decorations and garnishes
non-aggressive
non-invasive
not native to North America - Hybrids of plants native to Europe.
tolerates frost",annual,moderately difficult,"Propagate by seed - Start seeds indoors 10 to 12 weeks before the last spring frost. Lightly cover the seeds with soil, as they need light to germinate. After sowing, slightly moisten the potting mix and place the seed tray in the refrigerator for 2 weeks, then move to heated area.

Germination temperature: 65 F to 70 F

Days to emergence: 14 to 21",Deadhead to prolong bloom. Pinch to keep bushy. Keep soil moist but not soggy. Remove plants when they die back from summer heat.,early spring mid-spring late spring,Pests: Aphids Mealybug Spider mites Parasitic nematodes,"full sun
part shade","Prefers rich, moist but well-drained soil.",http://www.gardening.cornell.edu/homegardening/scenede13.html,"""Pansy,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scenede13.html. [Accessed: 11-Apr-2019]."
windflower,windflower,"deer resistant
non-aggressive
non-invasive
not native to North America - Native to high mountainous regions in Europe.",perennial,easy,Propagate by division or separation - Divide the plant clumps in fall. Plants will also self-sow. Apply mulch in fall for winter protection.,,early spring,,full sun part shade,"
prefers rich, well-drained soil",http://www.gardening.cornell.edu/homegardening/scene238d.html,"""Windflower,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene238d.html. [Accessed: 11-Apr-2019]."
yellowiris,yellow iris,"non-invasive, not native to North America, native to Europe and North America",perennial,easy,"Propagate by seed, division or separation - Divide in the spring or fall. Often self-sows. Deadhead after flowering to prevent self sowing. Divide in the spring or fall as needed.",Performs best when roots are submerged in water or at least receive constant moisture.,blooms in late spring and early summer,aggressive - Self-seeds prolifically if not deadheaded,full sun,"requires damp soil
Tolerates poor drainage",http://www.gardening.cornell.edu/homegardening/scene8f3c.html,"""Iris, Yellow Flag,"" Explore Cornell - Home Gardening - Flower Growing Guides - Growing Guide. [Online]. Available: http://www.gardening.cornell.edu/homegardening/scene8f3c.html. [Accessed: 11-Apr-2019]."
